,hash,obj
0,zipcode,17669
1,%m.%d.%Y %H:%M:%S,11.28.2000 23:42:03
2,%d-%m-%Y:%d-%m-%Y,27-03-1974:23-12-1985
3,%Y_%m_%d %H:%M:%S,1982_04_15 01:56:05
4,longitude,169.123405
5,%m/%d/%y,05/03/00
6,prefix,Dr.
7,%Y/%m/%d,2002/01/12
8,language_name,Burmese
9,city_suffix,fort
10,pyfloat,-278.64168158978
11,%Y%m%d,19950506
12,%Y/%m/%d,1986/11/07
13,%Y_%m,1982_04
14,paragraph,Record with ready quite good price bag color. Campaign challenge feel rock what discuss sure. Capital organization evening amount walk training. Picture board set third different test ok.
15,%d_%m_%y,16_09_11
16,pyfloat,-62202.599320527
17,%d_%m_%Y,05_12_2005
18,%m,05
19,%d-%m-%Y:%d-%m-%Y,12-05-2009:01-06-1987
20,"%B %d, %Y","August 06, 2018"
21,"%A, %B %d, %Y HH:mm:ss","Sunday, January 27, 1984, 03:59:27"
22,pyfloat,4327492339.4619
23,unix_time,1469560863
24,%Y.%m.%d,1981.09.28
25,%d.%m.%Y %H:%M:%S,13.05.2019 19:29:48
26,%m/%d/%y,09/21/91
27,phone_number,+1-940-091-2518x99635
28,phone_number,(806)004-1026x260
29,%a,mon
30,"%A, %B %d, %Y HH:mm:ss","Tuesday, April 11, 1970, 23:33:50"
31,%Y-%m,1971-11
32,%d_%m_%y,23_07_72
33,%d/%m/%Y %H:%M:%S,19/12/2003 00:43:57
34,"%B %d, %Y","May 13, 2004"
35,pyfloat,-806.385189769873
36,language_name,Irish
37,%d.%m.%y,24.05.73
38,ssn,161-08-0249
39,%d %B %Y,01 October 2000
40,%m,11
41,%d_%m_%Y %H:%M:%S,07_11_1980 16:09:19
42,%d %B %Y,15 June 1985
43,country_GID,LCA
44,language_name,Nepali
45,%m_%d_%y,07_06_21
46,%a,thur
47,"%B %d, %Y","September 07, 1993"
48,%m/%d/%Y,11/10/1996
49,latlong,"-42.170560, 5.551433"
50,%Y-%m-%dT%H%M%S,1992-09-23T15:11:27
51,%m_%d_%Y %H:%M:%S,10_08_1991 17:49:36
52,%d,24
53,%m_%d_%y,07_11_22
54,%d/%m/%y,05/10/72
55,%Y%m%d,19730212
56,%d_%m_%y,17_12_10
57,%m.%d.%y,01.09.79
58,%d,16
59,%m.%d.%y,07.04.10
60,%Y.%m.%d,2002.06.17
61,%m,11
62,%d-%m-%Y:%d-%m-%Y,20-06-1990 : 02-10-2012
63,phone_number,276-533-2527x2953
64,%Y%d,199507
65,ssn,740-44-9137
66,%m.%d.%Y %H:%M:%S,01.05.1985 22:36:30
67,%d-%m-%y,13-11-19
68,pyfloat,-490.523331302233
69,%d_%m_%y,24_06_09
70,%m,12
71,country_code,BZ
72,%Y-%m-%dT%H%M%S,1987-05-29T15:26:23
73,%Y_%m_%d %H:%M:%S,2005_04_26 08:08:17
74,%Y_%m_%d %H:%M:%S,1985_03_25 15:40:12
75,%d_%m_%Y %H:%M:%S,02_08_1999 00:59:10
76,%d_%m_%Y %H:%M:%S,06_06_2010 21:37:56
77,percent,0.004
78,%Y,2000
79,%d/%m/%Y %H:%M:%S,19/07/1982 22:23:07
80,%Y-%m-%dT%H%M%S,1982-01-23T09:34:40
81,%m_%d_%Y,04_24_1992
82,%m-%d-%Y %H:%M:%S,11-17-1997 21:22:27
83,%Y_%m,2014_02
84,%d_%m_%Y,08_10_2015
85,%b,nov
86,"%A, %B %d, %Y HH:mm:ss","Monday, April 28, 2002, 20:46:07"
87,"%A, %B %d, %y","Wednesday, January 07, 1978"
88,pystr,itSzAhOlafwySrkDJMCy
89,"%B %d, %Y","May 24, 1979"
90,%m-%d-%Y,01-10-2011
91,country_code,AL
92,%m/%d/%y,06/29/03
93,latitude,6.515193
94,%m.%d.%Y,07.28.1988
95,country_name,Belarus
96,%Y-%m-%d,1997-01-26
97,%Y/%m,2009/06
98,pyfloat,-5001228265.58345
99,"%A, %B %d, %y","Tuesday, August 05, 1987"
100,%d.%m.%y,19.01.13
101,%Y.%m,2018.06
102,%d-%m-%Y:%d-%m-%Y,03-04-2015 : 30-01-1974
103,latlong,"-2.102, -56.535"
104,%m/%d/%y,05/11/02
105,%m.%d.%Y,07.06.2017
106,%m.%d.%Y,08.11.1995
107,prefix,Ind.
108,"%B %d, %Y","September 15, 1980"
109,%B,October
110,%Y%m%d,20210908
111,first_name,Zachary
112,%d/%m/%Y-%d/%m/%Y,16/11/2014 - 17/03/2022
113,%A,Thursday
114,%m_%d_%Y,02_25_1982
115,email,dsanchez@example.com
116,%m/%d/%y %H:%M:%S %p,08/27/22 11:15:40 PM
117,%d_%m_%y,18_06_17
118,%d_%m_%Y %H:%M:%S,15_10_1979 00:43:06
119,%B,July
120,"%a, %d %b %Y","Wed, 14 Nov 1984"
121,%m/%d/%y %H:%M:%S %p,03/02/12 17:14:56 AM
122,"%A, %B %d, %y","Friday, May 07, 1973"
123,%m.%d.%Y %H:%M:%S,04.04.1979 09:09:43
124,boolean_letter,T
125,%m,01
126,%m.%d.%y,05.06.93
127,country_GID,MLI
128,latitude,70.0699245
129,%m_%d_%y,07_13_04
130,%d/%m/%Y %H:%M:%S,21/06/2022 22:05:25
131,phone_number,317.755.7539x0965
132,%d_%m_%y,03_02_85
133,email,urobinson@example.com
134,%a,fri
135,%d.%m.%y,27.09.81
136,%m,04
137,"%a, %d %b %Y","Mon, 04 Apr 2022"
138,%d/%m/%Y,16/04/1997
139,prefix,Dr.
140,%b,apr
141,%d.%m.%Y %H:%M:%S,31.03.1985 05:33:14
142,%d/%m/%y,21/11/05
143,latitude,9.082761
144,%d,04
145,%Y%m%d,19780223
146,%Y_%m_%d,1995_11_20
147,%B,May
148,pystr,RFtYNJfcsqYgRCKeaITW
149,%m.%d.%y,04.05.03
150,%d-%m-%Y,29-01-1986
151,%d_%m_%y,11_12_96
152,ssn,574-15-3392
153,%d/%m/%y,20/10/04
154,%m/%d/%Y %H:%M:%S,10/25/2016 04:36:41
155,ssn,555-80-8301
156,%Y.%m,1980.06
157,%m/%d/%Y,12/07/2010
158,%Y%d,200127
159,%Y:%Y,2009:1988
160,%d.%m.%Y %H:%M:%S,30.01.2016 10:10:12
161,%B,October
162,pystr,SwNUxqyKcJsPnSScHnBt
163,first_name,George
164,%Y-%m-%dT%H%M%S,2002-02-27T10:42:08
165,%Y_%m_%d,2022_06_19
166,%m.%d.%Y,12.23.1996
167,%B,November
168,%Y,1985
169,%Y.%m,1985.09
170,%d.%m.%Y,12.11.1999
171,%d-%m-%y,07-10-89
172,country_code,GT
173,longitude,-134.527468
174,%Y:%Y,2013 : 1983
175,%d-%m-%Y,16-03-1971
176,%m/%d/%y %H:%M:%S %p,05/09/06 04:32:03 AM
177,%d/%m/%Y:%d/%m/%Y,02/09/2006 : 25/10/1989
178,boolean,True
179,%B,December
180,%Y/%m,2004/06
181,%Y-%m-%dT%H%M%S,1995-05-13T19:00:43
182,%m/%d/%y %H:%M:%S %p,04/05/75 20:01:27 AM
183,%Y-%m-%dT%H%M%S,2010-07-30T10:50:57
184,%m_%d_%y,06_01_10
185,paragraph,Student able worry couple its.
186,%d_%m_%y,13_05_15
187,"%A, %B %d, %Y HH:mm:ss","Friday, May 30, 2005, 16:02:10"
188,%d-%m-%Y:%d-%m-%Y,02-10-2019 : 14-04-1997
189,%d/%m/%Y %H:%M:%S,13/12/2002 14:04:44
190,%Y,1995
191,ssn,424-88-9459
192,%Y_%m,2008_01
193,%d/%m/%y,04/04/20
194,%m.%d.%Y %H:%M:%S,04.26.2002 02:29:56
195,%Y_%m,1979_03
196,%m/%d/%y,10/11/16
197,boolean_letter,T
198,%m_%d_%Y %H:%M:%S,10_25_2017 15:30:45
199,%m-%d-%Y,02-17-2010
200,first_name,Phillip
201,%m.%d.%y,10.25.20
202,%Y:%Y,1986:1995
203,"%a, %d %b %Y","Wed, 02 Feb 1977"
204,%d.%m.%Y %H:%M:%S,14.10.1996 13:54:25
205,%m.%d.%y,08.11.04
206,%Y-%Y,2006 - 1991
207,%B,March
208,%b,sept
209,city_suffix,furt
210,%Y-%m-%dT%H%M%S,2019-12-22T03:22:55
211,%m-%d-%Y,06-25-1995
212,%Y%m%d,19731018
213,email,brian24@example.org
214,%B,July
215,paragraph,Adult community standard door image red. West describe floor dream second future.
216,%d/%m/%y,18/06/93
217,%Y-%Y,1991 - 1986
218,%Y:%Y,2020 : 2022
219,longitude,-37.377393
220,%m.%d.%Y %H:%M:%S,12.14.1985 21:53:46
221,"%B %d, %Y - %B %d, %Y","February 10, 1976 - January 13, 2006"
222,%d/%m/%Y-%d/%m/%Y,06/12/1985 - 06/03/2006
223,%Y-%m,2006-07
224,"%a, %d %b %Y","Fri, 19 Sep 2014"
225,%d.%m.%Y %H:%M:%S,08.10.1997 04:47:24
226,%m.%d.%Y %H:%M:%S,07.06.2020 09:26:50
227,%d_%m_%Y %H:%M:%S,27_09_2002 06:30:15
228,%m_%d_%Y %H:%M:%S,10_14_2015 15:06:06
229,latlong,"-54.3590435, 9.645533"
230,%d.%m.%Y,02.03.2006
231,latlong,"66.021, -36.801"
232,%d/%m/%Y,12/07/2007
233,"%a, %d %b %Y","Sat, 17 Jun 2000"
234,%m/%d/%Y %H:%M:%S,11/06/1990 04:09:55
235,%Y-%m-%dT%H%M%S,2021-03-10T21:20:39
236,zipcode,87256
237,%Y-%m-%d %H:%M:%S,2005-08-17 23:55:53
238,%Y_%m_%d %H:%M:%S,1975_01_31 04:44:33
239,%Y.%m,2017.05
240,%a,sun
241,%b,sept
242,%Y%d,199922
243,%Y%m%d,19720307
244,%Y_%m_%d %H:%M:%S,1974_08_11 09:28:16
245,%Y.%m.%d %H:%M:%S,1994.05.02 15:50:39
246,%m/%d/%y %H:%M:%S %p,10/22/13 05:35:40 AM
247,%m.%d.%Y %H:%M:%S,05.06.2007 14:37:11
248,percent,0.0073
249,%m_%d_%Y %H:%M:%S,08_06_1998 14:47:45
250,%m-%d-%Y,12-26-2006
251,%d.%m.%Y %H:%M:%S,18.06.2016 02:43:22
252,pystr,sAHMsqSIUhlVzpSfsvoP
253,%Y/%m,1998/11
254,%Y/%m,2014/08
255,%Y:%Y,2017:1980
256,continent,South America
257,country_GID,NFK
258,%Y.%m.%d,1975.07.11
259,%d/%m/%Y:%d/%m/%Y,31/12/1995 : 11/06/1986
260,%d/%m/%Y:%d/%m/%Y,28/09/2017:08/12/2014
261,%d %B %y,15 August 19
262,%d %B %y,07 December 20
263,"%A, %B %d, %y","Wednesday, April 06, 2004"
264,paragraph,Machine chair off parent computer spend student. Price position throughout. Nature piece benefit goal.
265,%d/%m/%Y-%d/%m/%Y,21/05/1996-31/01/2019
266,paragraph,Smile brother poor somebody. Right main least well receive institution table.
267,%m/%d/%y %H:%M:%S %p,06/19/75 15:31:02 PM
268,%d_%m_%Y %H:%M:%S,06_03_2011 07:59:25
269,%Y-%m-%dT%H%M%S,2007-04-16T15:07:31
270,%m_%d_%y,05_05_20
271,latlong,"-16.779024, -96.212342"
272,boolean,False
273,%d %B %Y,14 January 1990
274,%b,sept
275,%Y_%m_%d,1979_03_28
276,%m.%d.%Y,03.06.2000
277,%d,03
278,pyfloat,-98.2498521446678
279,%d_%m_%y,01_02_20
280,%d_%m_%Y %H:%M:%S,01_12_1992 00:53:35
281,"%A, %B %d, %Y HH:mm:ss","Thursday, May 02, 2001, 08:00:22"
282,%d/%m/%Y:%d/%m/%Y,13/10/1975:25/06/2002
283,language_name,Panjabi
284,"%B %d, %Y","June 22, 2010"
285,%Y,2009
286,country_name,French Guiana
287,%d-%m-%Y %H:%M:%S,31-03-2019 23:38:24
288,%Y/%m,2018/04
289,"%a, %d %b %Y","Fri, 10 Feb 2006"
290,%Y-%m-%d,2005-06-07
291,%d %B %y,02 August 19
292,%d %B %Y,12 June 1973
293,%B,October
294,%d-%m-%Y %H:%M:%S,25-10-1999 10:29:15
295,%d-%m-%Y %H:%M:%S,17-03-1988 07:52:05
296,%Y/%m/%d,1989/02/07
297,pyfloat,-11.7649383106143
298,%b,jan
299,"%A, %B %d, %y","Tuesday, March 12, 2009"
300,%d/%m/%y,21/03/99
301,%m/%d/%y,06/29/85
302,%Y,1985
303,%Y-%m-%d %H:%M:%S,2000-08-04 23:21:39
304,%Y,2013
305,%m_%d_%y,07_31_95
306,city,West Douglasland
307,phone_number,001-198-073-8429x21633
308,boolean,False
309,city_suffix,berg
310,continent,Europe
311,%B,May
312,%d-%m-%y,22-02-71
313,%Y-%m-%d,1976-05-27
314,pystr,qkRLDnyhtpsPOjAfcDAX
315,%d/%m/%Y %H:%M:%S,28/01/2010 03:20:43
316,%Y,1987
317,%m_%d_%Y %H:%M:%S,07_01_2004 08:26:27
318,%m-%d-%Y,03-30-1984
319,%m,09
320,%m_%d_%Y,06_04_2009
321,%Y.%m,1990.06
322,boolean,True
323,%Y/%m/%d %H:%M:%S,2015/03/29 03:47:31
324,%m.%d.%Y,11.22.1992
325,language_name,Limburgan
326,%d-%m-%Y %H:%M:%S,28-01-2005 14:14:57
327,email,yvasquez@example.org
328,%d/%m/%y,09/08/79
329,phone_number,(442)125-6433x3250
330,%Y.%m.%d,1981.12.17
331,%Y-%m,1999-10
332,pyfloat,-9412279742.2258
333,zipcode,87399
334,%m/%d/%y %H:%M:%S %p,12/23/70 08:06:18 AM
335,%d-%m-%Y,17-09-2018
336,"%A, %B %d, %Y HH:mm:ss","Monday, March 15, 1991, 18:32:44"
337,%m.%d.%y,05.07.13
338,boolean_letter,t
339,%d/%m/%Y:%d/%m/%Y,01/04/1974 : 02/06/1980
340,%Y_%m,1985_07
341,"%A, %B %d, %y","Friday, February 14, 1976"
342,%Y_%m_%d %H:%M:%S,2007_03_22 16:37:06
343,"%A, %B %d, %y","Sunday, March 25, 2014"
344,%Y-%Y,1977-1981
345,latlong,"-88.0142375, 51.470262"
346,boolean,True
347,%m/%d/%Y %H:%M:%S,01/04/1985 22:57:23
348,prefix,Ms.
349,country_code,TO
350,phone_number,+1-644-905-9066
351,%m/%d/%y %H:%M:%S %p,07/05/71 11:52:48 PM
352,%Y-%m-%d %H:%M:%S,1977-07-09 18:12:50
353,%Y-%m-%d %H:%M:%S,1984-09-02 00:55:49
354,pyfloat,200775142.786133
355,%Y-%m-%d,2022-02-19
356,%d %B %y,12 June 20
357,city,Lake Kimberlyfort
358,%m/%d/%Y %H:%M:%S,09/19/2000 05:23:35
359,%Y-%m,2003-01
360,%A,Monday
361,ssn,757-76-4072
362,country_GID,ESH
363,%Y-%m-%d %H:%M:%S,2016-02-20 23:33:26
364,%d/%m/%Y:%d/%m/%Y,30/01/2002 : 10/01/1985
365,%Y%m%d,20100307
366,language_name,Uighur
367,pyfloat,-567872584800.74
368,"%B %d, %Y - %B %d, %Y","July 02, 2012 - April 28, 1985"
369,%Y-%m-%d,1986-07-24
370,city_suffix,stad
371,%d-%m-%y,27-09-20
372,"%B %d, %Y","September 08, 1985"
373,%Y%m%d,20190520
374,%Y-%m-%dT%H%M%S,2001-01-27T20:57:18
375,%m.%d.%y,01.04.07
376,%m/%d/%y %H:%M:%S %p,03/31/88 08:38:10 AM
377,%d/%m/%Y-%d/%m/%Y,24/05/2013-21/04/1990
378,%d/%m/%Y %H:%M:%S,30/09/1990 14:15:28
379,%Y.%m,2021.10
380,%d/%m/%Y %H:%M:%S,13/03/1971 07:39:23
381,continent,Antarctica
382,%m/%d/%y %H:%M:%S %p,03/25/88 04:51:23 PM
383,%Y/%m,1992/03
384,boolean,True
385,%d-%m-%Y:%d-%m-%Y,26-04-1988:13-07-1970
386,"%A, %B %d, %y","Wednesday, May 17, 1999"
387,%A,Wednesday
388,%Y/%m,2017/06
389,first_name,Erica
390,pyfloat,1866.4620353605
391,%d_%m_%Y,29_10_1985
392,longitude,167.034616
393,%m.%d.%y,07.01.77
394,%d-%m-%Y,10-01-1978
395,%d-%m-%Y,02-11-2009
396,"%A, %B %d, %y","Tuesday, February 12, 1985"
397,%m/%d/%Y,05/03/1980
398,city,East Katrinamouth
399,%m,07
400,%d/%m/%Y:%d/%m/%Y,23/12/1979 : 15/05/1978
401,%m.%d.%y,04.29.90
402,prefix,Ms.
403,%d/%m/%Y-%d/%m/%Y,07/06/1994-11/11/2013
404,%m-%d-%Y,12-12-1980
405,%A,Friday
406,%d.%m.%Y,28.04.2005
407,%m/%d/%Y %H:%M:%S,01/31/2009 00:22:34
408,unix_time,1101061305
409,%d/%m/%Y %H:%M:%S,29/09/1979 12:07:57
410,%Y_%m_%d,1997_06_29
411,prefix,Mrs.
412,phone_number,440-485-0382
413,%A,Thursday
414,%m,05
415,city_suffix,mouth
416,%d_%m_%Y,10_04_1998
417,"%A, %B %d, %y","Saturday, July 12, 1996"
418,%d.%m.%Y %H:%M:%S,06.02.2012 08:46:17
419,%b,sept
420,%d,13
421,%m_%d_%Y,11_17_1983
422,%m-%d-%Y,05-23-1976
423,%m/%d/%Y %H:%M:%S,11/05/1997 20:47:53
424,%d_%m_%Y,23_03_1983
425,%m,01
426,%Y/%m/%d,1977/07/04
427,pystr,kvqBuYNZTMAOiFFpUhgB
428,%Y/%m/%d %H:%M:%S,1998/04/12 22:36:52
429,"%A, %B %d, %Y HH:mm:ss","Wednesday, March 26, 2002, 10:33:56"
430,email,jamesjenkins@example.org
431,%A,Thursday
432,%m_%d_%Y %H:%M:%S,05_13_1983 06:54:07
433,latlong,"-24.811135, 114.225095"
434,%d/%m/%y,07/12/91
435,pystr,jOuNpcynyWoqzjgnyRfK
436,%A,Tuesday
437,%d %B %y,22 August 20
438,%m-%d-%Y,07-02-2017
439,%m-%d-%y,05-21-87
440,%d-%m-%Y,08-05-2011
441,boolean,False
442,continent,Oceania
443,%d_%m_%y,28_10_02
444,%d_%m_%y,23_08_80
445,%d %B %Y,25 October 1976
446,%Y-%m-%d %H:%M:%S,1999-01-19 07:01:28
447,%B,October
448,%m.%d.%Y %H:%M:%S,09.17.2007 08:28:06
449,"%B %d, %Y - %B %d, %Y","August 04, 2018 - January 05, 1994"
450,first_name,Shawn
451,"%A, %B %d, %y","Monday, September 09, 2007"
452,%d-%m-%Y %H:%M:%S,20-01-2021 04:42:53
453,%d %B %Y,24 March 2007
454,%d/%m/%Y-%d/%m/%Y,26/12/1984-13/05/2002
455,%d/%m/%Y:%d/%m/%Y,13/11/2011 : 04/03/1987
456,%m_%d_%Y,08_27_1992
457,phone_number,+1-057-090-7055x10261
458,%d/%m/%y,03/06/99
459,%Y-%m,1985-01
460,%Y.%m.%d,1987.12.07
461,%m.%d.%y,04.12.22
462,phone_number,(851)190-9768x09701
463,%m-%d-%Y,12-31-1994
464,%d_%m_%Y,27_11_2007
465,%Y/%m,2003/07
466,%m/%d/%y %H:%M:%S %p,06/17/78 19:24:14 AM
467,country_code,BN
468,%d_%m_%y,03_01_79
469,%m.%d.%Y,02.14.1986
470,%m_%d_%Y %H:%M:%S,05_02_2012 01:02:29
471,%d %B %Y,30 April 1988
472,%d-%m-%Y:%d-%m-%Y,18-03-2005:29-02-1992
473,%Y/%m,1970/03
474,"%B %d, %Y","March 17, 2013"
475,%Y%m%d,19950121
476,%Y%d,199712
477,%m_%d_%Y,01_26_1980
478,%Y-%Y,1999 - 1975
479,%d-%m-%Y:%d-%m-%Y,07-10-1983 : 18-01-2021
480,%m-%d-%Y %H:%M:%S,12-27-1980 12:47:36
481,%Y-%m,1976-02
482,prefix,Dr.
483,%m-%d-%y,05-29-74
484,%d %B %y,26 August 19
485,continent,North America
486,%Y_%m_%d %H:%M:%S,1992_03_30 02:28:23
487,%d_%m_%Y %H:%M:%S,08_04_2009 12:16:43
488,percent,0.95
489,percent,0.2
490,%Y_%m,1979_03
491,%Y-%Y,1979 - 1980
492,"%B %d, %Y","June 12, 1995"
493,%a,tues
494,"%B %d, %Y - %B %d, %Y","February 21, 2005 - November 27, 2019"
495,%d-%m-%Y,21-01-1970
496,first_name,Jonathan
497,%Y_%m_%d %H:%M:%S,2011_01_26 07:38:59
498,%m_%d_%Y %H:%M:%S,10_09_1983 16:21:56
499,first_name,Madison
500,"%B %d, %Y - %B %d, %Y","February 24, 2011 - July 10, 1974"
501,first_name,Bradley
502,%m/%d/%Y,09/06/1998
503,%Y.%m.%d,1981.11.20
504,boolean_letter,F
505,country_name,South Georgia and the South Sandwich Islands
506,unix_time,902901460
507,%Y-%m-%dT%H%M%S,1971-03-02T22:08:19
508,%Y/%m/%d,1976/09/30
509,%m_%d_%Y %H:%M:%S,08_28_2005 18:18:59
510,%Y-%Y,1988-2010
511,prefix,Mx.
512,%Y-%m-%dT%H%M%S,2001-06-15T17:56:29
513,%Y/%m/%d,2015/01/24
514,%B,June
515,%m_%d_%y,10_14_95
516,%m-%d-%y,09-08-96
517,%Y-%m-%d,1975-03-24
518,%Y:%Y,1971:1975
519,%B,September
520,%A,Friday
521,%m-%d-%Y,12-15-1987
522,latitude,84.0938655
523,%m_%d_%Y,05_29_2015
524,%Y-%m-%d,1993-03-07
525,%Y/%m/%d %H:%M:%S,1992/05/04 12:03:33
526,%d/%m/%Y %H:%M:%S,01/02/2018 09:33:52
527,%m/%d/%Y,06/10/1989
528,%A,Tuesday
529,city,Patrickhaven
530,first_name,Martha
